18:56:39.400 [main] INFO  franxx.code.logging.LevelTest - Info
18:56:39.403 [main] WARN  franxx.code.logging.LevelTest - Waring
18:56:39.403 [main] ERROR franxx.code.logging.LevelTest - Error
2023-12-21 19:00:24.744 [main] INFO  franxx.code.logging.LevelTest - Info
2023-12-21 19:00:24.746 [main] WARN  franxx.code.logging.LevelTest - Waring
2023-12-21 19:00:24.747 [main] ERROR franxx.code.logging.LevelTest - Error
2023-12-21 19:12:51.116 [main] INFO  franxx.code.logging.MyController - fe96cf70-64b7-463d-89c2-b3f588a21e2d - Controller save
2023-12-21 19:12:51.119 [main] INFO  franxx.code.logging.MyService - fe96cf70-64b7-463d-89c2-b3f588a21e2d - Service save
2023-12-21 19:12:51.120 [main] INFO  franxx.code.logging.MyRepository - fe96cf70-64b7-463d-89c2-b3f588a21e2d - Repository save
2023-12-21 19:18:54.694 [main] INFO  franxx.code.logging.MyController - []  - 6cd325dd-1eea-465a-9373-03bbda315cdc - Controller save
2023-12-21 19:18:54.697 [main] INFO  franxx.code.logging.MyService - []  - 6cd325dd-1eea-465a-9373-03bbda315cdc - Service save
2023-12-21 19:18:54.697 [main] INFO  franxx.code.logging.MyRepository - []  - 6cd325dd-1eea-465a-9373-03bbda315cdc - Repository save
2023-12-21 19:20:19.634 [main] INFO  franxx.code.logging.MyController - [1001133f-0789-4d5f-8789-dbdbf0115afe]  - 1001133f-0789-4d5f-8789-dbdbf0115afe - Controller save
2023-12-21 19:20:19.638 [main] INFO  franxx.code.logging.MyService - [1001133f-0789-4d5f-8789-dbdbf0115afe]  - 1001133f-0789-4d5f-8789-dbdbf0115afe - Service save
2023-12-21 19:20:19.639 [main] INFO  franxx.code.logging.MyRepository - [1001133f-0789-4d5f-8789-dbdbf0115afe]  - 1001133f-0789-4d5f-8789-dbdbf0115afe - Repository save
2023-12-21 19:23:15.648 [main] INFO  franxx.code.logging.MyController - [248c33aa-8e86-4d06-9f6f-cdc718312998]  - Controller save
2023-12-21 19:23:15.650 [main] INFO  franxx.code.logging.MyService - [248c33aa-8e86-4d06-9f6f-cdc718312998]  - Service save
2023-12-21 19:23:15.651 [main] INFO  franxx.code.logging.MyRepository - [248c33aa-8e86-4d06-9f6f-cdc718312998]  - Repository save
2023-12-21 19:27:01.231 [Thread-4] INFO  franxx.code.logging.MyController - [28d18900-8828-48ce-8dbd-040eb3d54135]  - Controller save
